opponent team,venue,match condition,Toss,Bat first,Captaincy,Due factor,All rounder,Fast bowler,Tamim,Shakib,Mushfiq,Mash,Mahmudullah,Rubel,Mustafiz,Result
SA,Away,Day,BD,BD,Mashrafe,0,5,4,1,1,1,1,1,1,0,Loss
SA,Away,Day,BD,S Africa,Mashrafe,0,4,3,1,1,1,1,1,1,0,Loss
SA,Away,Day,S Africa,S Africa,Mashrafe,0,5,3,1,1,1,1,1,1,0,Loss
SA,HM,Day/Night,BD,BD,Mashrafe,0,5,3,1,1,1,1,1,1,1,Loss
SA,HM,Day/Night,S Africa,S Africa,Mashrafe,0,5,3,1,1,1,1,1,1,1,Win
SA,HM,Day/Night,S Africa,S Africa,Mashrafe,1,5,3,1,1,1,1,1,1,1,Win
SA,Away,Day,S Africa,S Africa,Ashraful,0,3,2,1,1,1,1,0,0,0,Loss
SA,Away,Day,BD,S Africa,Ashraful,0,2,2,1,1,0,0,0,0,0,Loss
SA,HM,Day,BD,BD,Ashraful,0,2,2,1,1,0,0,0,0,0,Loss
pak,HM,Day/Night,BD,BD,sakib,0,5,3,1,1,1,1,0,1,0,Win
pak,HM,Day/Night,pak,pak,Mashrafe,0,5,3,1,1,1,1,0,1,1,Win
pak,HM,Day/Night,pak,pak,Mashrafe,0,5,3,1,1,1,1,1,1,0,Win
pak,HM,Day,BD,BD,Mashrafe,0,5,2,1,1,1,0,1,1,0,Loss
pak,HM,Day,pak,pak,Mashrafe,0,3,2,1,1,1,0,1,1,0,Loss
pak,HM,Day,pak,pak,Mashrafe,0,5,2,1,1,1,0,1,0,0,Loss
pak,Away,Day/Night,pak,pak,Ashraful,1,3,1,1,1,0,1,1,0,0,Loss
pak,Away,Day/Night,BD,BD,Ashraful,1,3,3,1,1,1,1,1,0,0,Loss
pak,Away,Day,pak,pak,khaled masud,0,1,2,0,0,1,1,0,0,0,Loss
NZ,HM,Day/Night,BD,BD,Mashrafe,0,4,2,1,0,1,1,1,1,0,Win
NZ,HM,Day,NZ,NZ,Mashrafe,0,3,2,0,0,1,1,1,1,0,Win
